epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,10042.5,0.70563,0.90149,0.73623,1.04927,0.68767,0.72397,0.80186,0.67762,0.7446,0.5278,0.63022,0.20391,0.70353,0.97573,0.75998,0.99354,8.24492e-05,8.24492e-05,8.24492e-05
30,10378.6,0.70689,0.89746,0.74893,1.0472,0.7097,0.69996,0.80748,0.67794,0.73532,0.50406,0.60743,0.19541,0.67988,0.96775,0.71891,0.97816,7.63797e-05,7.63797e-05,7.63797e-05
31,10721.4,0.69733,0.90217,0.72422,1.04081,0.70705,0.70769,0.80593,0.67428,0.7368,0.55363,0.60979,0.20438,0.69531,0.94672,0.73932,0.98427,7.04073e-05,7.04073e-05,7.04073e-05
32,11061.5,0.69723,0.90031,0.72938,1.04202,0.71195,0.70732,0.81386,0.68433,0.74557,0.52562,0.61157,0.19817,0.6753,0.96018,0.74555,0.98217,6.45557e-05,6.45557e-05,6.45557e-05
33,11400.2,0.684,0.89405,0.71857,1.03676,0.76307,0.68042,0.81012,0.68747,0.7353,0.57804,0.62209,0.20555,0.6562,0.94033,0.72249,0.96896,5.88479e-05,5.88479e-05,5.88479e-05
34,11743.1,0.67843,0.89928,0.71003,1.0326,0.75071,0.67465,0.80568,0.68419,0.68092,0.57073,0.63655,0.21259,0.67384,0.94293,0.72353,0.97379,5.33064e-05,5.33064e-05,5.33064e-05
35,12081.4,0.68258,0.89242,0.71154,1.03494,0.76646,0.65279,0.80801,0.68296,0.77892,0.53749,0.66248,0.22758,0.68369,0.9352,0.73295,0.98688,4.79531e-05,4.79531e-05,4.79531e-05
36,12420,0.67662,0.88791,0.69833,1.03354,0.74306,0.69282,0.80893,0.68389,0.70334,0.56816,0.60674,0.19611,0.67282,0.95032,0.74057,0.97484,4.28093e-05,4.28093e-05,4.28093e-05
37,12759.4,0.67987,0.88796,0.70506,1.03415,0.7155,0.70958,0.80726,0.68448,0.76058,0.54573,0.63988,0.20635,0.67355,0.96513,0.72873,0.97578,3.7895e-05,3.7895e-05,3.7895e-05
38,13097.3,0.66432,0.88615,0.69708,1.02832,0.71001,0.71121,0.7994,0.67906,0.75196,0.54825,0.6282,0.20993,0.6778,0.95516,0.73347,0.98094,3.32298e-05,3.32298e-05,3.32298e-05
39,13433.3,0.66665,0.89133,0.6854,1.02729,0.71156,0.68944,0.80883,0.68583,0.77547,0.52473,0.63167,0.20743,0.67169,0.95146,0.73284,0.9788,2.88321e-05,2.88321e-05,2.88321e-05
40,13770.4,0.67256,0.8866,0.70419,1.03241,0.75886,0.68054,0.80881,0.6851,0.736,0.56397,0.63782,0.21814,0.67173,0.95408,0.74089,0.979,2.47192e-05,2.47192e-05,2.47192e-05
41,14116,0.65342,0.87971,0.67708,1.02327,0.74762,0.6674,0.80592,0.68419,0.77204,0.51929,0.62105,0.21155,0.67437,0.95995,0.73465,0.97962,2.09073e-05,2.09073e-05,2.09073e-05
42,14456.6,0.65782,0.8862,0.6903,1.02348,0.75808,0.66559,0.80469,0.67918,0.70957,0.5572,0.6326,0.20658,0.67445,0.96439,0.7464,0.97866,1.74115e-05,1.74115e-05,1.74115e-05
43,14797.1,0.65901,0.88196,0.6854,1.02582,0.75106,0.67972,0.80985,0.68424,0.68176,0.57331,0.61625,0.20634,0.67005,0.94784,0.73069,0.97831,1.42456e-05,1.42456e-05,1.42456e-05
44,15136.1,0.64746,0.88192,0.67782,1.02168,0.77624,0.66178,0.80751,0.68551,0.72115,0.5572,0.61707,0.20468,0.66457,0.95964,0.73456,0.9741,1.14221e-05,1.14221e-05,1.14221e-05
45,15474.7,0.64971,0.88187,0.68199,1.0216,0.78232,0.66755,0.81176,0.68896,0.70064,0.57543,0.62482,0.20939,0.66537,0.95498,0.72194,0.97704,8.95213e-06,8.95213e-06,8.95213e-06
46,15812,0.65055,0.88347,0.67209,1.02426,0.75214,0.69444,0.81134,0.68729,0.67832,0.59409,0.62462,0.2092,0.66769,0.95451,0.73003,0.97629,6.8454e-06,6.8454e-06,6.8454e-06
47,16148.8,0.65369,0.88467,0.68508,1.02254,0.75349,0.69554,0.8112,0.68771,0.73087,0.56821,0.63523,0.21799,0.66637,0.95291,0.72782,0.97647,5.11027e-06,5.11027e-06,5.11027e-06
48,16484.9,0.64793,0.87522,0.67351,1.02198,0.75037,0.69432,0.81286,0.68932,0.69504,0.58523,0.63285,0.21897,0.66183,0.95088,0.72514,0.97444,3.75356e-06,3.75356e-06,3.75356e-06
49,16828.4,0.64219,0.87953,0.67212,1.01702,0.74293,0.69959,0.81083,0.68879,0.7088,0.57799,0.64085,0.21224,0.66555,0.95066,0.72617,0.97545,2.78064e-06,2.78064e-06,2.78064e-06
50,17170.9,0.65534,0.88371,0.67652,1.025,0.75961,0.68097,0.80995,0.68825,0.70668,0.58189,0.63176,0.21386,0.66347,0.95087,0.72725,0.97475,2.19535e-06,2.19535e-06,2.19535e-06
